epoch, loss, loss2, pf, pf1, loss_data, loss_prior, logdet
0, 421.46, 27.98, 0.00e+00, 1.22e-06, -1.44, -445.73, -1.30
1, 406.41, 40.03, 0.00e+00, 4.66e-06, -1.27, -436.38, -1.60
2, 405.55, 57.55, 0.00e+00, 1.23e-06, -1.55, -437.18, -1.71
3, 412.95, 66.18, 0.00e+00, 1.38e-06, -1.94, -453.01, -2.19
4, 418.35, 67.13, 0.00e+00, 2.35e-06, -1.29, -449.11, -1.69
5, 392.30, 48.18, 0.00e+00, 8.98e-05, -1.90, -437.42, -2.51
6, 420.18, 15.80, 0.00e+00, 3.08e-08, -1.81, -452.60, -1.85
7, 395.95, 171.69, 0.00e+00, 1.35e-01, -2.08, -436.17, -2.31
8, 409.89, 32.01, 0.00e+00, 4.99e-10, -1.55, -448.93, -2.24
9, 389.17, 10.13, 0.00e+00, 5.44e-07, -1.86, -437.07, -2.78
10, 409.70, 7.58, 0.00e+00, 2.22e-08, -2.22, -446.41, -2.20
11, 395.30, 17.96, 0.00e+00, 3.89e-08, -2.11, -443.55, -2.88
12, 397.38, 26.65, 0.00e+00, 2.76e-06, -1.99, -441.25, -2.66
13, 374.99, 45.99, 0.00e+00, 6.03e-04, -2.87, -430.73, -3.44
